2019-03-28 13:59:30.862 INFO  --- [main] c.a.b.d.c.e.WelcomeLogoApplicationListener : 
2019-03-28 13:59:38.568 INFO  --- [main] o.a.c.core.AprLifecycleListener : The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [C:\Program Files\Java\jdk1.8.0_101\bin;C:\WINDOWS\Sun\Java\bin;C:\WINDOWS\system32;C:\WINDOWS;C:\ProgramData\Oracle\Java\javapath;C:\Windows\System32;C:\Program Files\Java\jdk1.7.0_80;C:\Program Files\Java\jdk1.8.0_101\bin;C:\Program Files\Java\jdk1.8.0_101\jre-9\bin;C:\Program Files\MySQL\MySQL Server 5.6\bin;C:\Program Files\apache-maven-3.3.9\bin;C:\Python34;C:\Program Files\Java\jdk1.8.0_101\jdk-9\bin;C:\Program Files\TortoiseSVN\bin;C:\Program Files\Redis;C:\Program Files\MongoDB3.4\bin;C:\WINDOWS\system32;C:\WINDOWS;C:\WINDOWS\System32\Wbem;C:\WINDOWS\System32\WindowsPowerShell\v1.0\;C:\WINDOWS\System32\OpenSSH\;C:\Program Files\erl9.2\bin;C:\Program Files\RabbitMQ Server\sbin;C:\Python34\scripts;C:\Program Files\nodejs\;C:\Server\Maven\bin;C:\Users\csdc01\AppData\Local\Microsoft\WindowsApps;C:\Users\csdc01\AppData\Roaming\npm;C:\Program Files\JetBrains\IntelliJ IDEA 2019.1\bin;C:\Program Files\JetBrains\IntelliJ IDEA 2018.3.6\bin;;.] 
2019-03-28 13:59:38.753 INFO  --- [main] o.a.c.c.C.[Tomcat].[localhost].[/] : Initializing Spring embedded WebApplicationContext 
2019-03-28 13:59:38.753 INFO  --- [main] o.s.web.context.ContextLoader : Root WebApplicationContext: initialization completed in 7293 ms 
2019-03-28 13:59:38.773 INFO  --- [main] o.s.c.a.s.SentinelWebAutoConfiguration : [Sentinel Starter] register Sentinel with urlPatterns: [/*]. 
2019-03-28 13:59:39.304 INFO  --- [main] o.h.jpa.internal.util.LogHelper : HHH000204: Processing PersistenceUnitInfo [
	name: default
	...] 
2019-03-28 13:59:39.388 INFO  --- [main] org.hibernate.Version : HHH000412: Hibernate Core {5.3.7.Final} 
2019-03-28 13:59:39.390 INFO  --- [main] org.hibernate.cfg.Environment : HHH000206: hibernate.properties not found 
2019-03-28 13:59:39.581 INFO  --- [main] o.h.annotations.common.Version : HCANN000001: Hibernate Commons Annotations {5.0.4.Final} 
2019-03-28 13:59:39.748 INFO  --- [main] org.hibernate.dialect.Dialect : HHH000400: Using dialect: org.hibernate.dialect.MySQL5Dialect 
2019-03-28 13:59:40.449 INFO  --- [main] o.s.o.j.LocalContainerEntityManagerFactoryBean : Initialized JPA EntityManagerFactory for persistence unit 'default' 
2019-03-28 13:59:40.912 WARN  --- [main] o.s.c.n.a.ArchaiusAutoConfiguration : No spring.application.name found, defaulting to 'application' 
2019-03-28 13:59:40.915 WARN  --- [main] c.n.c.sources.URLConfigurationSource : No URLs will be polled as dynamic configuration sources. 
2019-03-28 13:59:40.915 INFO  --- [main] c.n.c.sources.URLConfigurationSource : To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath. 
2019-03-28 13:59:40.921 WARN  --- [main] c.n.c.sources.URLConfigurationSource : No URLs will be polled as dynamic configuration sources. 
2019-03-28 13:59:40.921 INFO  --- [main] c.n.c.sources.URLConfigurationSource : To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath. 
2019-03-28 13:59:41.550 INFO  --- [main] o.s.s.c.ThreadPoolTaskExecutor : Initializing ExecutorService 'applicationTaskExecutor' 
2019-03-28 13:59:41.607 WARN  --- [main] o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration$JpaWebMvcConfiguration : spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning 
2019-03-28 13:59:41.776 INFO  --- [main] c.a.d.c.s.b.f.a.DubboConfigBindingBeanPostProcessor : The properties of bean [name : com.alibaba.dubbo.config.ApplicationConfig#0] have been binding by prefix of configuration properties : dubbo.application 
2019-03-28 13:59:41.783 INFO  --- [main] c.a.d.c.s.b.f.a.DubboConfigBindingBeanPostProcessor : The properties of bean [name : com.alibaba.dubbo.config.RegistryConfig#0] have been binding by prefix of configuration properties : dubbo.registry 
2019-03-28 13:59:41.789 INFO  --- [main] c.a.d.c.s.b.f.a.DubboConfigBindingBeanPostProcessor : The properties of bean [name : com.alibaba.dubbo.config.ProtocolConfig#0] have been binding by prefix of configuration properties : dubbo.protocol 
2019-03-28 13:59:42.675 INFO  --- [timeoutChecker_1] c.a.f.core.rpc.netty.RmRpcClient : will connect to 127.0.0.1:8091 
2019-03-28 13:59:42.675 INFO  --- [timeoutChecker_1] c.a.f.core.rpc.netty.RmRpcClient : RM will register :null 
2019-03-28 13:59:42.760 INFO  --- [timeoutChecker_1] c.a.f.c.r.netty.NettyPoolableFactory : NettyPool create channel to {"address":"127.0.0.1:8091","message":{"applicationId":"account","byteBuffer":{"char":"\u0000","direct":false,"double":0.0,"float":0.0,"int":0,"long":0,"readOnly":false,"short":0},"transactionServiceGroup":"demo","typeCode":101,"version":"0.4.0"},"transactionRole":"TMROLE"} 
2019-03-28 13:59:42.760 INFO  --- [timeoutChecker_1] c.a.f.c.r.netty.NettyPoolableFactory : NettyPool create channel to {"address":"127.0.0.1:8091","message":{"applicationId":"account","byteBuffer":{"char":"\u0000","direct":false,"double":0.0,"float":0.0,"int":0,"long":0,"readOnly":false,"short":0},"transactionServiceGroup":"demo","typeCode":103,"version":"0.4.0"},"transactionRole":"RMROLE"} 
2019-03-28 13:59:43.081 INFO  --- [timeoutChecker_1] c.a.f.core.rpc.netty.RmRpcClient : register RM success. server version:0.4.0,channel:[id: 0x940e255c, L:/127.0.0.1:50780 - R:/127.0.0.1:8091] 
2019-03-28 13:59:43.082 INFO  --- [timeoutChecker_1] c.a.f.c.r.netty.NettyPoolableFactory : register success, cost 134 ms, version:0.4.0,role:RMROLE,channel:[id: 0x940e255c, L:/127.0.0.1:50780 - R:/127.0.0.1:8091] 
2019-03-28 13:59:43.102 INFO  --- [timeoutChecker_1] c.a.f.c.r.netty.NettyPoolableFactory : register success, cost 154 ms, version:0.4.0,role:TMROLE,channel:[id: 0xb62c6b70, L:/127.0.0.1:50779 - R:/127.0.0.1:8091] 
2019-03-28 13:59:43.175 INFO  --- [main] o.a.coyote.http11.Http11NioProtocol : Starting ProtocolHandler ["http-nio-8081"] 
2019-03-28 13:59:43.191 INFO  --- [main] o.s.b.w.e.tomcat.TomcatWebServer : Tomcat started on port(s): 8081 (http) with context path '' 
2019-03-28 13:59:43.194 INFO  --- [main] com.ksyzz.account.AccountApplication : Started AccountApplication in 12.687 seconds (JVM running for 15.056) 
2019-03-28 13:59:52.981 INFO  --- [NettyClientSelector_TMROLE_1] c.a.f.core.rpc.netty.TmRpcClient : will send ping msg,channel[id: 0xb62c6b70, L:/127.0.0.1:50779 - R:/127.0.0.1:8091] 
2019-03-28 13:59:57.924 INFO  --- [main] c.a.b.d.c.e.WelcomeLogoApplicationListener : 

 :: Dubbo Spring Boot (v0.2.1.RELEASE) : https://github.com/apache/incubator-dubbo-spring-boot-project
 :: Dubbo (v2.6.4) : https://github.com/apache/incubator-dubbo
 :: Discuss group : dev@dubbo.apache.org
 
2019-03-28 13:59:57.930 INFO  --- [main] c.a.b.d.c.e.OverrideDubboConfigApplicationListener : Dubbo Config was overridden by externalized configuration {dubbo.application.qos-enable=false, dubbo.config.multiple=true} 
2019-03-28 13:59:58.389 INFO  --- [main] o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker : Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$d17ec9c6] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2019-03-28 13:59:58.447 INFO  --- [pool-2-thread-1] c.a.b.d.c.e.AwaitingNonWebApplicationListener :  [Dubbo] Current Spring Boot Application is await... 
2019-03-28 13:59:58.538 INFO  --- [main] c.a.b.d.c.e.OverrideDubboConfigApplicationListener : Dubbo Config was overridden by externalized configuration {dubbo.application.name=record, dubbo.application.qos-enable=false, dubbo.config.multiple=true, dubbo.protocol.name=dubbo, dubbo.protocol.port=20882, dubbo.registry.address=nacos://192.168.88.22:8848, dubbo.scan.base-packages=com.ksyzz.record.service} 
2019-03-28 13:59:58.554 INFO  --- [main] com.ksyzz.record.RecordApplication : No active profile set, falling back to default profiles: default 
2019-03-28 13:59:59.007 INFO  --- [main] c.a.d.c.s.c.a.DubboConfigBindingRegistrar : The dubbo config bean definition [name : com.alibaba.dubbo.config.ApplicationConfig#0, class : com.alibaba.dubbo.config.ApplicationConfig] has been registered. 
2019-03-28 13:59:59.008 INFO  --- [main] c.a.d.c.s.c.a.DubboConfigBindingRegistrar : The BeanPostProcessor bean definition [com.alibaba.dubbo.config.spring.beans.factory.annotation.DubboConfigBindingBeanPostProcessor] for dubbo config bean [name : com.alibaba.dubbo.config.ApplicationConfig#0] has been registered. 
2019-03-28 13:59:59.008 INFO  --- [main] c.a.d.c.s.c.a.DubboConfigBindingRegistrar : The dubbo config bean definition [name : com.alibaba.dubbo.config.RegistryConfig#0, class : com.alibaba.dubbo.config.RegistryConfig] has been registered. 
2019-03-28 13:59:59.008 INFO  --- [main] c.a.d.c.s.c.a.DubboConfigBindingRegistrar : The BeanPostProcessor bean definition [com.alibaba.dubbo.config.spring.beans.factory.annotation.DubboConfigBindingBeanPostProcessor] for dubbo config bean [name : com.alibaba.dubbo.config.RegistryConfig#0] has been registered. 
2019-03-28 13:59:59.008 INFO  --- [main] c.a.d.c.s.c.a.DubboConfigBindingRegistrar : The dubbo config bean definition [name : com.alibaba.dubbo.config.ProtocolConfig#0, class : com.alibaba.dubbo.config.ProtocolConfig] has been registered. 
2019-03-28 13:59:59.008 INFO  --- [main] c.a.d.c.s.c.a.DubboConfigBindingRegistrar : The BeanPostProcessor bean definition [com.alibaba.dubbo.config.spring.beans.factory.annotation.DubboConfigBindingBeanPostProcessor] for dubbo config bean [name : com.alibaba.dubbo.config.ProtocolConfig#0] has been registered. 
2019-03-28 13:59:59.060 INFO  --- [main] o.s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data repositories in DEFAULT mode. 
2019-03-28 13:59:59.134 INFO  --- [main] o.s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 67ms. Found 1 repository interfaces. 
2019-03-28 13:59:59.286 INFO  --- [main] o.s.c.a.ConfigurationClassPostProcessor : Cannot enhance @Configuration bean definition 'com.alibaba.boot.dubbo.autoconfigure.DubboAutoConfiguration' since its singleton instance has been created too early. The typical cause is a non-static @Bean method with a BeanDefinitionRegistryPostProcessor return type: Consider declaring such methods as 'static'. 
2019-03-28 13:59:59.370 INFO  --- [main] o.s.cloud.context.scope.GenericScope : BeanFactory id=0d039bce-e2d6-3a92-b8e9-97acc5b200cd 
2019-03-28 13:59:59.398 INFO  --- [main] o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker : Bean 'spring.datasource-org.springframework.boot.autoconfigure.jdbc.DataSourceProperties' of type [org.springframework.boot.autoconfigure.jdbc.DataSourceProperties] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2019-03-28 13:59:59.402 INFO  --- [main] o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker : Bean 'fescarConfig' of type [com.ksyzz.record.config.FescarConfig$$EnhancerBySpringCGLIB$$7ff087a9] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2019-03-28 14:00:02.982 INFO  --- [NettyClientSelector_TMROLE_1] c.a.f.core.rpc.netty.TmRpcClient : will send ping msg,channel[id: 0xb62c6b70, L:/127.0.0.1:50779 - R:/127.0.0.1:8091] 
2019-03-28 14:00:04.459 ERROR --- [main] c.alibaba.fescar.config.ConfigFuture : config operation timeout,cost:5002 ms,op:GET,dataId:service.disableGlobalTransaction 
2019-03-28 14:00:04.483 INFO  --- [main] c.a.f.s.a.GlobalTransactionScanner : Initializing Global Transaction Clients ...  
2019-03-28 14:00:04.575 INFO  --- [main] c.a.f.c.r.n.AbstractRpcRemotingClient : AbstractRpcRemotingClient has started 
2019-03-28 14:00:04.585 INFO  --- [main] c.a.f.s.a.GlobalTransactionScanner : Transaction Manager Client is initialized. applicationId[record] txServiceGroup[demo] 
2019-03-28 14:00:04.597 INFO  --- [main] c.a.fescar.rm.datasource.AsyncWorker : Async Commit Buffer Limit: 10000 
2019-03-28 14:00:04.603 INFO  --- [main] c.a.f.c.r.n.AbstractRpcRemotingClient : AbstractRpcRemotingClient has started 
2019-03-28 14:00:04.606 INFO  --- [main] c.a.f.s.a.GlobalTransactionScanner : Resource Manager is initialized. applicationId[record] txServiceGroup[demo] 
2019-03-28 14:00:04.606 INFO  --- [main] c.a.f.s.a.GlobalTransactionScanner : Global Transaction Clients are initialized.  
2019-03-28 14:00:04.738 INFO  --- [main] o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker : Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$b564c6c9] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2019-03-28 14:00:04.980 INFO  --- [main] o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker : Bean 'relaxedDubboConfigBinder' of type [com.alibaba.boot.dubbo.autoconfigure.RelaxedDubboConfigBinder] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2019-03-28 14:00:04.985 INFO  --- [main] o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker : Bean 'relaxedDubboConfigBinder' of type [com.alibaba.boot.dubbo.autoconfigure.RelaxedDubboConfigBinder] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2019-03-28 14:00:04.986 INFO  --- [main] o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker : Bean 'relaxedDubboConfigBinder' of type [com.alibaba.boot.dubbo.autoconfigure.RelaxedDubboConfigBinder] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2019-03-28 14:00:05.008 INFO  --- [main] o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker : Bean 'spring.cloud.sentinel-org.springframework.cloud.alibaba.sentinel.SentinelProperties' of type [org.springframework.cloud.alibaba.sentinel.SentinelProperties] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2019-03-28 14:00:05.017 INFO  --- [main] o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker : Bean 'org.springframework.cloud.alibaba.sentinel.custom.SentinelAutoConfiguration' of type [org.springframework.cloud.alibaba.sentinel.custom.SentinelAutoConfiguration$$EnhancerBySpringCGLIB$$72cf92ec] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2019-03-28 14:00:05.032 INFO  --- [main] o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker : Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$d17ec9c6] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2019-03-28 14:00:05.470 INFO  --- [main] o.s.b.w.e.tomcat.TomcatWebServer : Tomcat initialized with port(s): 8082 (http) 
2019-03-28 14:00:05.485 INFO  --- [main] o.a.coyote.http11.Http11NioProtocol : Initializing ProtocolHandler ["http-nio-8082"] 
2019-03-28 14:00:05.495 INFO  --- [main] o.a.catalina.core.StandardService : Starting service [Tomcat] 
2019-03-28 14:00:05.496 INFO  --- [main] o.a.catalina.core.StandardEngine : Starting Servlet engine: [Apache Tomcat/9.0.16] 
2019-03-28 14:00:05.502 INFO  --- [main] o.a.c.core.AprLifecycleListener : The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [C:\Program Files\Java\jdk1.8.0_101\bin;C:\WINDOWS\Sun\Java\bin;C:\WINDOWS\system32;C:\WINDOWS;C:\ProgramData\Oracle\Java\javapath;C:\Windows\System32;C:\Program Files\Java\jdk1.7.0_80;C:\Program Files\Java\jdk1.8.0_101\bin;C:\Program Files\Java\jdk1.8.0_101\jre-9\bin;C:\Program Files\MySQL\MySQL Server 5.6\bin;C:\Program Files\apache-maven-3.3.9\bin;C:\Python34;C:\Program Files\Java\jdk1.8.0_101\jdk-9\bin;C:\Program Files\TortoiseSVN\bin;C:\Program Files\Redis;C:\Program Files\MongoDB3.4\bin;C:\WINDOWS\system32;C:\WINDOWS;C:\WINDOWS\System32\Wbem;C:\WINDOWS\System32\WindowsPowerShell\v1.0\;C:\WINDOWS\System32\OpenSSH\;C:\Program Files\erl9.2\bin;C:\Program Files\RabbitMQ Server\sbin;C:\Python34\scripts;C:\Program Files\nodejs\;C:\Server\Maven\bin;C:\Users\csdc01\AppData\Local\Microsoft\WindowsApps;C:\Users\csdc01\AppData\Roaming\npm;C:\Program Files\JetBrains\IntelliJ IDEA 2019.1\bin;C:\Program Files\JetBrains\IntelliJ IDEA 2018.3.6\bin;;.] 
2019-03-28 14:00:05.671 INFO  --- [main] o.a.c.c.C.[Tomcat].[localhost].[/] : Initializing Spring embedded WebApplicationContext 
2019-03-28 14:00:05.671 INFO  --- [main] o.s.web.context.ContextLoader : Root WebApplicationContext: initialization completed in 7107 ms 
2019-03-28 14:00:05.686 INFO  --- [main] o.s.c.a.s.SentinelWebAutoConfiguration : [Sentinel Starter] register Sentinel with urlPatterns: [/*]. 
2019-03-28 14:00:06.201 INFO  --- [main] o.h.jpa.internal.util.LogHelper : HHH000204: Processing PersistenceUnitInfo [
	name: default
	...] 
2019-03-28 14:00:06.276 INFO  --- [main] org.hibernate.Version : HHH000412: Hibernate Core {5.3.7.Final} 
2019-03-28 14:00:06.278 INFO  --- [main] org.hibernate.cfg.Environment : HHH000206: hibernate.properties not found 
2019-03-28 14:00:06.428 INFO  --- [main] o.h.annotations.common.Version : HCANN000001: Hibernate Commons Annotations {5.0.4.Final} 
2019-03-28 14:00:06.574 INFO  --- [main] org.hibernate.dialect.Dialect : HHH000400: Using dialect: org.hibernate.dialect.MySQL5Dialect 
2019-03-28 14:00:07.268 INFO  --- [main] o.s.o.j.LocalContainerEntityManagerFactoryBean : Initialized JPA EntityManagerFactory for persistence unit 'default' 
